Name,No,Pop1975,Pop1982,Pop1990,Pop1999,Pop2007,Pop2015,Pop2021
Paris 1er Arrondissement (Louvre),1,22793,18509,18360,16888,17915,16545,15919
Paris 2e Arrondissement (Bourse),2,26328,21203,20738,19585,21745,20796,21119
Paris 3e Arrondissement (Temple),3,41706,36094,35102,34248,34576,35049,32793
Paris 4e Arrondissement (Hôtel-de-Ville),4,40466,33990,32226,30675,28572,27146,28324
Paris 5e Arrondissement (Panthéon),5,67668,62173,61222,58849,62664,59333,56841
Paris 6e Arrondissement (Luxembourg),6,56331,48905,47891,44919,45332,42428,40209
Paris 7e Arrondissement (Palais-Bourbon),7,74250,67461,62939,56985,57410,54133,47947
Paris 8e Arrondissement (Élysée),8,52999,46403,40814,39314,39165,36694,35123
Paris 9e Arrondissement (Opéra),9,70270,64134,58019,55838,58632,59408,58951
Paris 10e Arrondissement (Enclos-St-Laurent),10,94046,86970,90083,89612,93373,91770,83543
Paris 11e Arrondissement (Popincourt),11,159317,146931,154165,149102,151421,149834,142583
Paris 12e Arrondissement (Reuilly),12,140900,138015,130257,136591,142425,142340,140954
Paris 13e Arrondissement (Gobelins),13,163313,170818,171098,171533,179213,183216,178350
Paris 14e Arrondissement (Observatoire),14,149137,138596,136574,132844,134382,139992,136368
Paris 15e Arrondissement (Vaugirard),15,231301,225596,223940,225362,232247,234994,227746
Paris 16e Arrondissement (Passy),16,193590,179446,169863,161773,159706,165487,162061
Paris 17e Arrondissement (Batignolles-Monceau),17,186293,169513,161935,160860,164673,168533,164413
Paris 18e Arrondissement (Butte-Montmartre),18,208970,186866,187657,184586,191523,197580,188446
Paris 19e Arrondissement (Buttes-Chaumont),19,144357,162649,165062,172730,184038,185654,181616
Paris 20e Arrondissement (Ménilmontant),20,175795,171971,184478,182952,194018,195556,189805
